Year,K,Season Weight,Avg Weight,Team Proj Weight,Player Proj Weight,NSims,MAE,RSS,Playoff Brier,,,,,
2019,6,0.8,0.2,0.25,0.75,10000,7.90171,2983.797023,0.321677419,,,,,
2019,6,0.8,0.2,0.5,0.5,10000,7.95307,3116.254601,0.336367742,,,,,
2019,6,0.8,0.2,0.75,0.25,10000,8.328143333,3540.84089,0.354270968,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,2-year,MAE,RSS,Playoff Brier
2022,6,0.8,0.2,0.25,0.75,10000,12.90050313,7557.176673,0.31771875,,Average,10.40110657,5270.486848,0.319698085
2022,6,0.8,0.2,0.5,0.5,10000,12.55215625,7006.838734,0.31223125,,Average,10.25261313,5061.546668,0.324299496
2022,6,0.8,0.2,0.75,0.25,10000,12.26615938,6876.768697,0.3128375,,Average,10.29715136,5208.804794,0.333554234
,,,,,,,,,,,,,,
,,,,,,,,,,,3-year,MAE,RSS,Playoff Brier
2023,6,0.8,0.2,0.25,0.75,10000,12.13948125,6845.002556,0.3749625,,Average,10.98056479,5795.325417,0.338119556
2023,6,0.8,0.2,0.5,0.5,10000,11.53223125,6395.581228,0.3601125,,Average,10.6791525,5506.224854,0.336237164
2023,6,0.8,0.2,0.75,0.25,10000,11.199,6369.868288,0.3473625,,Average,10.59776757,5595.825958,0.338156989
