,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,SEASON
0,1,Greg Adams,32,DAL,LW,66,22,21,43,-21,33,3.4,10,11,1,1,11,9,1,140,15.7,,,1996
1,2,Micah Aivazoff,26,NYI,C,12,0,1,1,-6,6,-0.4,0,0,0,0,0,1,0,8,0.0,,,1996
2,3,Tommy Albelin,31,TOT,D,73,1,13,14,1,18,4.7,1,0,0,0,7,6,0,121,0.8,,,1996
5,4,Daniel Alfredsson*,23,OTT,RW,82,26,35,61,-18,28,5.3,16,8,2,3,17,18,0,212,12.3,,,1996
6,5,Peter Allen,25,PIT,D,8,0,0,0,2,8,0.2,0,0,0,0,0,0,0,2,0.0,,,1996
7,6,Jason Allison,20,WSH,C,19,0,3,3,-3,2,-0.3,0,0,0,0,2,1,0,18,0.0,,,1996
8,7,Tony Amonte,25,CHI,RW,81,31,32,63,10,62,6.0,22,5,4,5,19,13,0,216,14.4,,,1996
9,8,Glenn Anderson*,35,TOT,RW,32,6,8,14,-11,33,0.6,4,2,0,1,8,0,0,71,8.5,,,1996
12,9,Mikael Andersson,29,TBL,RW,64,8,11,19,0,2,0.9,8,0,0,1,11,0,0,104,7.7,,,1996
13,10,Niklas Andersson,24,NYI,LW,47,14,12,26,-3,12,2.3,9,3,2,1,11,1,0,89,15.7,,,1996
14,11,Dave Andreychuk*,32,TOT,LW,76,28,29,57,-9,64,5.4,12,14,2,3,14,14,1,241,11.6,,,1996
17,12,Greg Andrusak,26,PIT,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,,,1996
18,13,Shawn Antoski,25,PHI,LW,64,1,3,4,-4,204,-1.4,1,0,0,0,3,0,0,34,2.9,,,1996
19,14,Dave Archibald,26,OTT,C,44,6,4,10,-14,18,0.0,6,0,0,1,2,2,0,56,10.7,,,1996
20,15,Derek Armstrong,22,NYI,C,19,1,3,4,-6,14,-0.2,1,0,0,0,2,1,0,23,4.3,,,1996
21,16,Jason Arnott,21,EDM,C,64,28,31,59,-6,87,5.7,20,8,0,5,23,8,0,244,11.5,,,1996
22,17,Mark Astley,26,BUF,D,60,2,18,20,-12,80,2.9,2,0,0,0,11,7,0,80,2.5,,,1996
23,18,Adrian Aucoin,22,VAN,D,49,4,14,18,8,34,3.5,2,2,0,0,8,6,0,85,4.7,,,1996
24,19,Donald Audette,26,BUF,RW,23,12,13,25,0,18,2.6,4,8,0,1,6,7,0,92,13.0,,,1996
25,20,Dave Babych,34,VAN,D,53,3,21,24,-5,38,3.1,0,3,0,0,14,6,1,69,4.3,,,1996
26,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,1996
27,21,Jamie Baker,29,SJS,C,77,16,17,33,-19,79,1.6,8,2,6,0,16,0,1,117,13.7,,,1996
28,22,Drew Bannister,21,TBL,D,13,0,1,1,-1,4,0.6,0,0,0,0,1,0,0,10,0.0,,,1996
29,23,Matthew Barnaby,22,BUF,RW,73,15,16,31,-2,335,2.0,15,0,0,0,16,0,0,131,11.5,,,1996
30,24,Stu Barnes,25,FLA,C,72,19,25,44,-12,46,3.3,11,8,0,5,12,13,0,158,12.0,,,1996
31,25,Murray Baron,28,STL,D,82,2,9,11,3,190,4.6,2,0,0,0,9,0,0,86,2.3,,,1996
32,26,Len Barrie,26,PIT,C,5,0,0,0,-1,18,-0.2,0,0,0,0,0,0,0,5,0.0,,,1996
33,27,Bob Bassen,30,DAL,C,13,0,1,1,-6,15,-0.4,0,0,0,0,1,0,0,9,0.0,,,1996
34,28,Ruslan Batyrshin,20,LAK,D,2,0,0,0,0,6,0.1,0,0,0,0,0,0,0,0,,,,1996
35,29,Ken Baumgartner,29,TOT,LW,72,2,4,6,-5,193,-1.2,2,0,0,1,4,0,0,32,6.3,,,1996
38,30,Nolan Baumgartner,19,WSH,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,,,1996
39,31,Sergei Bautin,28,SJS,D,1,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,,,,1996
40,32,Clayton Beddoes,25,BOS,C,39,1,6,7,-5,44,-0.5,1,0,0,0,6,0,0,18,5.6,,,1996
41,33,Bob Beers,28,NYI,D,13,0,5,5,-2,10,0.7,0,0,0,0,2,3,0,9,0.0,,,1996
42,34,Jesse Bélanger,26,TOT,C,72,20,21,41,-5,14,3.3,12,8,0,2,8,13,0,151,13.2,,,1996
45,35,Ken Belanger,21,NYI,LW,7,0,0,0,-2,27,-0.2,0,0,0,0,0,0,0,0,,,,1996
46,36,Brian Bellows,31,TBL,RW,79,23,26,49,-14,39,4.1,10,13,0,4,12,14,0,190,12.1,,,1996
47,37,Josef Beránek,26,VAN,LW,61,6,14,20,-11,60,0.1,6,0,0,1,13,1,0,131,4.6,,,1996
48,38,Drake Berehowsky,24,PIT,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,,,1996
49,39,Aki Berg,18,LAK,D,51,0,7,7,-13,29,1.0,0,0,0,0,7,0,0,56,0.0,,,1996
50,40,Bill Berg,28,TOT,LW,41,3,2,5,-6,41,-0.6,2,0,1,0,2,0,0,60,5.0,,,1996
54,41,Marc Bergevin,30,DET,D,70,1,9,10,7,33,4.1,1,0,0,0,8,0,1,26,3.8,,,1996
55,42,Stefan Bergkvist,20,PIT,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,4,0.0,,,1996
56,43,Todd Bertuzzi,20,NYI,RW,76,18,21,39,-14,83,2.7,14,4,0,2,18,3,0,127,14.2,,,1996
57,44,Craig Berube,30,WSH,LW,50,2,10,12,1,151,0.0,1,1,0,1,9,1,0,28,7.1,,,1996
58,45,Jeff Beukeboom,30,NYR,D,82,3,11,14,19,220,4.8,3,0,0,1,11,0,0,65,4.6,,,1996
59,46,James Black,26,CHI,C,13,3,3,6,1,16,0.4,3,0,0,1,3,0,0,23,13.0,,,1996
60,47,Rob Blake*,26,LAK,D,6,1,2,3,0,8,0.5,1,0,0,0,0,2,0,13,7.7,,,1996
61,48,Arto Blomsten,30,LAK,D,2,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,,,1996
62,49,Doug Bodger,29,TOT,D,73,4,24,28,-24,68,2.6,1,3,0,0,11,12,1,121,3.3,,,1996
65,50,Lonny Bohonos,22,VAN,RW,3,0,1,1,1,0,0.0,0,0,0,0,1,0,0,3,0.0,,,1996
