Date,Visitor,G_Vis,Home,G_Home,OT Ind,Season
2001-04-11,Los Angeles Kings,3,Detroit Red Wings,5,0,playoffs2001
2001-04-11,Edmonton Oilers,1,Dallas Stars,2,1,playoffs2001
2001-04-11,Buffalo Sabres,2,Philadelphia Flyers,1,0,playoffs2001
2001-04-12,Vancouver Canucks,4,Colorado Avalanche,5,0,playoffs2001
2001-04-12,Carolina Hurricanes,1,New Jersey Devils,5,0,playoffs2001
2001-04-12,San Jose Sharks,1,St. Louis Blues,3,0,playoffs2001
2001-04-12,Pittsburgh Penguins,0,Washington Capitals,1,0,playoffs2001
2001-04-13,Toronto Maple Leafs,1,Ottawa Senators,0,1,playoffs2001
2001-04-14,Toronto Maple Leafs,3,Ottawa Senators,0,0,playoffs2001
2001-04-14,Pittsburgh Penguins,2,Washington Capitals,1,0,playoffs2001
2001-04-14,San Jose Sharks,1,St. Louis Blues,0,0,playoffs2001
2001-04-14,Buffalo Sabres,4,Philadelphia Flyers,3,1,playoffs2001
2001-04-14,Los Angeles Kings,0,Detroit Red Wings,4,0,playoffs2001
2001-04-14,Edmonton Oilers,4,Dallas Stars,3,0,playoffs2001
2001-04-14,Vancouver Canucks,1,Colorado Avalanche,2,0,playoffs2001
2001-04-15,Dallas Stars,3,Edmonton Oilers,2,1,playoffs2001
2001-04-15,Detroit Red Wings,1,Los Angeles Kings,2,0,playoffs2001
2001-04-15,Carolina Hurricanes,0,New Jersey Devils,2,0,playoffs2001
2001-04-16,Colorado Avalanche,4,Vancouver Canucks,3,1,playoffs2001
2001-04-16,Ottawa Senators,2,Toronto Maple Leafs,3,1,playoffs2001
2001-04-16,Washington Capitals,0,Pittsburgh Penguins,3,0,playoffs2001
2001-04-16,Philadelphia Flyers,3,Buffalo Sabres,2,0,playoffs2001
2001-04-16,St. Louis Blues,6,San Jose Sharks,3,0,playoffs2001
2001-04-17,Philadelphia Flyers,3,Buffalo Sabres,4,1,playoffs2001
2001-04-17,New Jersey Devils,4,Carolina Hurricanes,0,0,playoffs2001
2001-04-17,Dallas Stars,1,Edmonton Oilers,2,1,playoffs2001
2001-04-17,St. Louis Blues,2,San Jose Sharks,3,0,playoffs2001
2001-04-18,Colorado Avalanche,5,Vancouver Canucks,1,0,playoffs2001
2001-04-18,Ottawa Senators,1,Toronto Maple Leafs,3,0,playoffs2001
2001-04-18,Washington Capitals,4,Pittsburgh Penguins,3,1,playoffs2001
2001-04-18,Detroit Red Wings,3,Los Angeles Kings,4,1,playoffs2001
2001-04-18,New Jersey Devils,2,Carolina Hurricanes,3,1,playoffs2001
2001-04-19,Edmonton Oilers,3,Dallas Stars,4,1,playoffs2001
2001-04-19,Buffalo Sabres,1,Philadelphia Flyers,3,0,playoffs2001
2001-04-19,San Jose Sharks,2,St. Louis Blues,3,1,playoffs2001
2001-04-20,Carolina Hurricanes,3,New Jersey Devils,2,0,playoffs2001
2001-04-21,Philadelphia Flyers,0,Buffalo Sabres,8,0,playoffs2001
2001-04-21,Los Angeles Kings,3,Detroit Red Wings,2,0,playoffs2001
2001-04-21,Dallas Stars,3,Edmonton Oilers,1,0,playoffs2001
2001-04-21,St. Louis Blues,2,San Jose Sharks,1,0,playoffs2001
2001-04-21,Pittsburgh Penguins,2,Washington Capitals,1,0,playoffs2001
2001-04-22,New Jersey Devils,5,Carolina Hurricanes,1,0,playoffs2001
2001-04-23,Washington Capitals,3,Pittsburgh Penguins,4,1,playoffs2001
2001-04-23,Detroit Red Wings,2,Los Angeles Kings,3,1,playoffs2001
2001-04-26,Pittsburgh Penguins,3,Buffalo Sabres,0,0,playoffs2001
2001-04-26,Toronto Maple Leafs,2,New Jersey Devils,0,0,playoffs2001
2001-04-26,Los Angeles Kings,4,Colorado Avalanche,3,1,playoffs2001
2001-04-27,St. Louis Blues,4,Dallas Stars,2,0,playoffs2001
2001-04-28,Pittsburgh Penguins,3,Buffalo Sabres,1,0,playoffs2001
2001-04-28,Los Angeles Kings,0,Colorado Avalanche,2,0,playoffs2001
2001-04-28,Toronto Maple Leafs,5,New Jersey Devils,6,1,playoffs2001
2001-04-29,St. Louis Blues,2,Dallas Stars,1,0,playoffs2001
2001-04-30,Colorado Avalanche,4,Los Angeles Kings,3,0,playoffs2001
2001-04-30,Buffalo Sabres,4,Pittsburgh Penguins,1,0,playoffs2001
2001-05-01,New Jersey Devils,3,Toronto Maple Leafs,2,1,playoffs2001
2001-05-01,Dallas Stars,2,St. Louis Blues,3,0,playoffs2001
2001-05-02,Colorado Avalanche,3,Los Angeles Kings,0,0,playoffs2001
2001-05-02,Buffalo Sabres,5,Pittsburgh Penguins,2,0,playoffs2001
2001-05-03,Dallas Stars,1,St. Louis Blues,4,0,playoffs2001
2001-05-03,New Jersey Devils,1,Toronto Maple Leafs,3,0,playoffs2001
2001-05-04,Los Angeles Kings,1,Colorado Avalanche,0,0,playoffs2001
2001-05-05,Pittsburgh Penguins,2,Buffalo Sabres,3,1,playoffs2001
2001-05-05,Toronto Maple Leafs,3,New Jersey Devils,2,0,playoffs2001
2001-05-06,Colorado Avalanche,0,Los Angeles Kings,1,0,playoffs2001
2001-05-07,New Jersey Devils,4,Toronto Maple Leafs,2,0,playoffs2001
2001-05-08,Buffalo Sabres,2,Pittsburgh Penguins,3,1,playoffs2001
2001-05-09,Los Angeles Kings,1,Colorado Avalanche,5,0,playoffs2001
2001-05-09,Toronto Maple Leafs,1,New Jersey Devils,5,0,playoffs2001
2001-05-10,Pittsburgh Penguins,3,Buffalo Sabres,2,1,playoffs2001
2001-05-12,St. Louis Blues,1,Colorado Avalanche,4,0,playoffs2001
2001-05-12,Pittsburgh Penguins,1,New Jersey Devils,3,0,playoffs2001
2001-05-14,St. Louis Blues,2,Colorado Avalanche,4,0,playoffs2001
2001-05-15,Pittsburgh Penguins,4,New Jersey Devils,2,0,playoffs2001
2001-05-16,Colorado Avalanche,3,St. Louis Blues,4,0,playoffs2001
2001-05-17,New Jersey Devils,3,Pittsburgh Penguins,0,0,playoffs2001
2001-05-18,Colorado Avalanche,4,St. Louis Blues,3,1,playoffs2001
2001-05-19,New Jersey Devils,5,Pittsburgh Penguins,0,0,playoffs2001
2001-05-21,St. Louis Blues,1,Colorado Avalanche,2,1,playoffs2001
2001-05-22,Pittsburgh Penguins,2,New Jersey Devils,4,0,playoffs2001
2001-05-26,New Jersey Devils,0,Colorado Avalanche,5,0,playoffs2001
2001-05-29,New Jersey Devils,2,Colorado Avalanche,1,0,playoffs2001
2001-05-31,Colorado Avalanche,3,New Jersey Devils,1,0,playoffs2001
2001-06-02,Colorado Avalanche,2,New Jersey Devils,3,0,playoffs2001
2001-06-04,New Jersey Devils,4,Colorado Avalanche,1,0,playoffs2001
2001-06-07,Colorado Avalanche,4,New Jersey Devils,0,0,playoffs2001
2001-06-09,New Jersey Devils,1,Colorado Avalanche,3,0,playoffs2001
2002-04-17,Vancouver Canucks,4,Detroit Red Wings,3,1,playoffs2002
2002-04-17,New Jersey Devils,1,Carolina Hurricanes,2,0,playoffs2002
2002-04-17,Phoenix Coyotes,1,San Jose Sharks,2,0,playoffs2002
2002-04-17,Ottawa Senators,0,Philadelphia Flyers,1,1,playoffs2002
2002-04-18,Montreal Canadiens,5,Boston Bruins,2,0,playoffs2002
2002-04-18,New York Islanders,1,Toronto Maple Leafs,3,0,playoffs2002
2002-04-18,Los Angeles Kings,3,Colorado Avalanche,4,0,playoffs2002
2002-04-18,Chicago Blackhawks,2,St. Louis Blues,1,0,playoffs2002
2002-04-19,New Jersey Devils,1,Carolina Hurricanes,2,1,playoffs2002
2002-04-19,Vancouver Canucks,5,Detroit Red Wings,2,0,playoffs2002
2002-04-20,Los Angeles Kings,3,Colorado Avalanche,5,0,playoffs2002
2002-04-20,Ottawa Senators,3,Philadelphia Flyers,0,0,playoffs2002
2002-04-20,Phoenix Coyotes,3,San Jose Sharks,1,0,playoffs2002
2002-04-20,Chicago Blackhawks,0,St. Louis Blues,2,0,playoffs2002
2002-04-20,New York Islanders,0,Toronto Maple Leafs,2,0,playoffs2002
2002-04-21,Montreal Canadiens,4,Boston Bruins,6,0,playoffs2002
2002-04-21,Detroit Red Wings,3,Vancouver Canucks,1,0,playoffs2002
2002-04-21,Carolina Hurricanes,0,New Jersey Devils,4,0,playoffs2002
2002-04-21,St. Louis Blues,4,Chicago Blackhawks,0,0,playoffs2002
2002-04-22,Colorado Avalanche,1,Los Angeles Kings,3,0,playoffs2002
2002-04-22,Philadelphia Flyers,0,Ottawa Senators,3,0,playoffs2002
2002-04-22,San Jose Sharks,4,Phoenix Coyotes,1,0,playoffs2002
