Date,Visitor,G_Vis,Home,G_Home,OT Ind
2015-10-07,Vancouver Canucks,5,Calgary Flames,1,0
2015-10-07,New York Rangers,3,Chicago Blackhawks,2,0
2015-10-07,San Jose Sharks,5,Los Angeles Kings,1,0
2015-10-07,Montreal Canadiens,3,Toronto Maple Leafs,1,0
2015-10-08,Winnipeg Jets,6,Boston Bruins,2,0
2015-10-08,Ottawa Senators,3,Buffalo Sabres,1,0
2015-10-08,Minnesota Wild,5,Colorado Avalanche,4,0
2015-10-08,Pittsburgh Penguins,0,Dallas Stars,3,0
2015-10-08,Carolina Hurricanes,1,Nashville Predators,2,0
2015-10-08,Edmonton Oilers,1,St. Louis Blues,3,0
2015-10-08,Philadelphia Flyers,2,Tampa Bay Lightning,3,1
2015-10-09,New York Rangers,4,Columbus Blue Jackets,2,0
2015-10-09,Toronto Maple Leafs,0,Detroit Red Wings,4,0
2015-10-09,Arizona Coyotes,4,Los Angeles Kings,1,0
2015-10-09,Winnipeg Jets,3,New Jersey Devils,1,0
2015-10-09,Chicago Blackhawks,3,New York Islanders,2,1
2015-10-10,Pittsburgh Penguins,1,Arizona Coyotes,2,0
2015-10-10,Montreal Canadiens,4,Boston Bruins,2,0
2015-10-10,Tampa Bay Lightning,4,Buffalo Sabres,1,0
2015-10-10,Detroit Red Wings,4,Carolina Hurricanes,3,0
2015-10-10,New York Islanders,1,Chicago Blackhawks,4,0
2015-10-10,Dallas Stars,3,Colorado Avalanche,6,0
2015-10-10,Philadelphia Flyers,1,Florida Panthers,7,0
2015-10-10,St. Louis Blues,2,Minnesota Wild,3,0
2015-10-10,Edmonton Oilers,0,Nashville Predators,2,0
2015-10-10,Columbus Blue Jackets,2,New York Rangers,5,0
2015-10-10,Anaheim Ducks,0,San Jose Sharks,2,0
2015-10-10,Ottawa Senators,5,Toronto Maple Leafs,4,1
2015-10-10,Calgary Flames,3,Vancouver Canucks,2,1
2015-10-10,New Jersey Devils,3,Washington Capitals,5,0
2015-10-11,Montreal Canadiens,3,Ottawa Senators,1,0
2015-10-12,Vancouver Canucks,2,Anaheim Ducks,1,1
2015-10-12,Tampa Bay Lightning,6,Boston Bruins,3,0
2015-10-12,Columbus Blue Jackets,2,Buffalo Sabres,4,0
2015-10-12,Winnipeg Jets,2,New York Islanders,4,0
