Date,Visitor,G_Vis,Home,G_Home,OT Ind
2016-04-13,Chicago Blackhawks,0,St. Louis Blues,1,1
2016-04-13,New York Rangers,2,Pittsburgh Penguins,5,0
2016-04-13,Detroit Red Wings,2,Tampa Bay Lightning,3,0
2016-04-14,Minnesota Wild,0,Dallas Stars,4,0
2016-04-14,Philadelphia Flyers,0,Washington Capitals,2,0
2016-04-14,New York Islanders,5,Florida Panthers,4,0
2016-04-14,San Jose Sharks,4,Los Angeles Kings,3,0
2016-04-15,Nashville Predators,3,Anaheim Ducks,2,0
2016-04-15,New York Islanders,1,Florida Panthers,3,0
2016-04-15,Chicago Blackhawks,3,St. Louis Blues,2,0
2016-04-15,Detroit Red Wings,2,Tampa Bay Lightning,5,0
2016-04-16,Philadelphia Flyers,1,Washington Capitals,4,0
2016-04-16,New York Rangers,4,Pittsburgh Penguins,2,0
2016-04-16,San Jose Sharks,2,Los Angeles Kings,1,0
2016-04-16,Minnesota Wild,1,Dallas Stars,2,0
2016-04-17,Nashville Predators,3,Anaheim Ducks,2,0
2016-04-17,St. Louis Blues,3,Chicago Blackhawks,2,0
2016-04-17,Tampa Bay Lightning,0,Detroit Red Wings,2,0
2016-04-17,Florida Panthers,3,New York Islanders,4,1
2016-04-18,Dallas Stars,3,Minnesota Wild,5,0
2016-04-18,Washington Capitals,6,Philadelphia Flyers,1,0
2016-04-18,Los Angeles Kings,2,San Jose Sharks,1,1
2016-04-19,Pittsburgh Penguins,3,New York Rangers,1,0
2016-04-19,Tampa Bay Lightning,3,Detroit Red Wings,2,0
2016-04-19,St. Louis Blues,4,Chicago Blackhawks,3,0
2016-04-19,Anaheim Ducks,3,Nashville Predators,0,0
2016-04-20,Dallas Stars,3,Minnesota Wild,2,0
2016-04-20,Florida Panthers,2,New York Islanders,1,0
2016-04-20,Washington Capitals,1,Philadelphia Flyers,2,0
2016-04-20,Los Angeles Kings,2,San Jose Sharks,3,0
2016-04-21,Anaheim Ducks,4,Nashville Predators,1,0
2016-04-21,Pittsburgh Penguins,5,New York Rangers,0,0
2016-04-21,Chicago Blackhawks,4,St. Louis Blues,3,0
2016-04-21,Detroit Red Wings,0,Tampa Bay Lightning,1,0
2016-04-22,Minnesota Wild,5,Dallas Stars,4,1
2016-04-22,Philadelphia Flyers,2,Washington Capitals,0,0
2016-04-22,San Jose Sharks,6,Los Angeles Kings,3,0
2016-04-22,New York Islanders,2,Florida Panthers,1,0
2016-04-23,Nashville Predators,2,Anaheim Ducks,5,0
2016-04-23,St. Louis Blues,3,Chicago Blackhawks,6,0
2016-04-23,New York Rangers,3,Pittsburgh Penguins,6,0
2016-04-24,Dallas Stars,5,Minnesota Wild,4,0
2016-04-24,Florida Panthers,1,New York Islanders,2,0
2016-04-24,Washington Capitals,1,Philadelphia Flyers,0,0
2016-04-25,Chicago Blackhawks,2,St. Louis Blues,3,0
2016-04-25,Anaheim Ducks,1,Nashville Predators,3,0
2016-04-27,Nashville Predators,2,Anaheim Ducks,1,0
2016-04-27,New York Islanders,5,Tampa Bay Lightning,3,0
2016-04-28,Pittsburgh Penguins,3,Washington Capitals,4,1
2016-04-29,St. Louis Blues,1,Dallas Stars,2,0
2016-04-29,Nashville Predators,2,San Jose Sharks,5,0
2016-04-30,New York Islanders,1,Tampa Bay Lightning,4,0
2016-04-30,Pittsburgh Penguins,2,Washington Capitals,1,0
2016-05-01,St. Louis Blues,4,Dallas Stars,3,1
2016-05-01,Nashville Predators,2,San Jose Sharks,3,0
2016-05-02,Washington Capitals,2,Pittsburgh Penguins,3,0
2016-05-03,Tampa Bay Lightning,5,New York Islanders,4,1
2016-05-03,Dallas Stars,1,St. Louis Blues,6,0
2016-05-03,San Jose Sharks,1,Nashville Predators,4,0
2016-05-04,Washington Capitals,2,Pittsburgh Penguins,3,1
2016-05-05,San Jose Sharks,3,Nashville Predators,4,0
2016-05-05,Dallas Stars,3,St. Louis Blues,2,1
2016-05-06,Tampa Bay Lightning,2,New York Islanders,1,1
2016-05-07,St. Louis Blues,4,Dallas Stars,1,0
2016-05-07,Nashville Predators,1,San Jose Sharks,5,0
2016-05-07,Pittsburgh Penguins,1,Washington Capitals,3,0
2016-05-08,New York Islanders,0,Tampa Bay Lightning,4,0
2016-05-09,Dallas Stars,3,St. Louis Blues,2,0
2016-05-09,San Jose Sharks,3,Nashville Predators,4,1
2016-05-10,Washington Capitals,3,Pittsburgh Penguins,4,1
2016-05-11,St. Louis Blues,6,Dallas Stars,1,0
2016-05-12,Nashville Predators,0,San Jose Sharks,5,0
2016-05-13,Tampa Bay Lightning,3,Pittsburgh Penguins,1,0
2016-05-15,San Jose Sharks,1,St. Louis Blues,2,0
2016-05-16,Tampa Bay Lightning,2,Pittsburgh Penguins,3,1
2016-05-17,San Jose Sharks,4,St. Louis Blues,0,0
2016-05-18,Pittsburgh Penguins,4,Tampa Bay Lightning,2,0
2016-05-19,St. Louis Blues,0,San Jose Sharks,3,0
2016-05-20,Pittsburgh Penguins,3,Tampa Bay Lightning,4,0
2016-05-21,St. Louis Blues,6,San Jose Sharks,3,0
2016-05-22,Tampa Bay Lightning,4,Pittsburgh Penguins,3,1
2016-05-23,San Jose Sharks,6,St. Louis Blues,3,0
2016-05-24,Pittsburgh Penguins,5,Tampa Bay Lightning,2,0
2016-05-25,St. Louis Blues,2,San Jose Sharks,5,0
2016-05-26,Tampa Bay Lightning,1,Pittsburgh Penguins,2,0
2016-05-30,San Jose Sharks,2,Pittsburgh Penguins,3,0
2016-06-01,San Jose Sharks,1,Pittsburgh Penguins,2,1
2016-06-04,Pittsburgh Penguins,2,San Jose Sharks,3,1
2016-06-06,Pittsburgh Penguins,3,San Jose Sharks,1,0
2016-06-09,San Jose Sharks,4,Pittsburgh Penguins,2,0
2016-06-12,Pittsburgh Penguins,3,San Jose Sharks,1,0
